سعر,شركة,موديل,سنة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات
73000,سكودا,فابيا,2016,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200 ,45000 ,4+1 ,نقدا فقط ,للبيع فقط ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|السياره بودي جير ماتور بحالة الوكاله|السياره مش منمره|جير اتوماتيك DSG|ماشيه 44000 فقط|سنة الانتاج : 25/11/2015|بترخص 2015|ولا غرام بويا|ماطور 1200 Tsi|جنط مغنيسيوم 16 بالكرتونه|مثبت سرعه|حساس للعجلات|مدخل usb+aux|نظام الطفي والتشغيل التلقائي|الاتصال للمعنيين
30000,فيات,1998,1998,ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,70000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,4 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|السياره بحاله جيده جدا
55000,سكودا,فابيا,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200 ,null,null,نقدا فقط ,للبيع فقط ,null,مُكيّف|مسجل CD|جنطات مغنيسيوم
66000,كيا,برايد,2014,فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,79000 ,4+1 ,نقدا فقط ,للبيع فقط ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|كامل الاضافات مع رخصه  سنه
55000,بيجو,بارتنر,2011,أحمر ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,000 ,null,نقدا فقط ,للبيع فقط ,يد ثانيه ,مُكيّف|إغلاق مركزي|مسجل CD|وسادة حماية هوائية
100000,فولكسفاجن,كادي,2014,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,150 الف  ,6+1 ,إمكانية التقسيط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|مسجل CD|كادي شصي طويل
2600,هوندا,اكورد,1997,ذهبي ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1800 ,210000 ,4+١ ,نقدا فقط ,للبيع فقط ,3 ,مُكيّف|إغلاق مركزي|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السيارة بوضع ممتاز جدا
1800,اوبل,اسكونا,1967,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1200 ,1 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,2 ,مسجل CD|جنطات مغنيسيوم
77000,هونداي,سانتافيه,2008,أزرق سماوي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200 ,20000 ,6+1 ,نقدا فقط ,للبيع فقط ,3 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|فرش جلد|وسادة حماية هوائية
20000,هونداي,الانترا,1999,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,00000000000000000 ,4+1 ,نقدا فقط ,للبيع فقط ,ثالثة ,إغلاق مركزي|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
61000,هونداي,i30,2010,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,113000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,2 ,مُكيّف|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
47000,فورد,فيستا,2014,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250 ,33000 ,4+1 ,نقدا فقط ,للتبديل فقط ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|السيارة بالصلاه عالنبي جديدة...|فحص النخب النخب ولا دقة شاكوس ...فحص بلتكنك رام الله .|جير عادي|مطور 1250|لون مميز|ترخيص سنه كامله بدون تامين..|تسيير السيارة من شهر|شصي 2015 ترخيص2014|السيارة مش ناقصها اشي الحمدلله ومش ماشية بتلين مطور٣٣الف ...|عجل السبير لسا مش ماشي عالشارع ..|امكانية البدل على سياره بولو او سكودا فابيا او سيات2012 او اوبل كورسا 2013 مع دفع الفرق بسعر معقول.|الله يطرح البركة
93000,هونداي,توسان,2014,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,null,4+1 ,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|جيب فل الفل|حساسات|كشافات|تحكم مقود|دفايات كراسي|فرش جلد|جنط 17|مفتاح بصمه
71000,سكودا,رابيد,2014,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,null,4+1 ,نقدا فقط ,للبيع فقط ,غير منمر استيراد الماني ,مُكيّف|جهاز إنذار|مسجل CD|تحكم استيرنج
110000,هونداي,i40,2011,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800 ,null,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|سيارة بالصلاة على النبي|كل الاضافات|فتحتين سقف|بصمة|حساسات|تامين وترخيص|السيارة 2012 ترخيص 2011|واسعة عائلية او للنقل
90000,سكودا,اوكتافيا,2014,عدة الوان ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,null,null,نقدا فقط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|Skoda octavia 2014|1600 TDI|جير عادي|ديزل|4 زجاج كهربا|كشافات|تحكم ستيرنج|تحديد سرعه|مسجل شاشه يعمل على لمس|جنط 17|غمازات على المري|دهان شركة|الدفع كاش فقط
67000,كيا,فورتي,2011,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,122,000 ,4+1 ,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
17500,اوبل,كاديت,1982,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1300 ,00000000000000 ,4+1 ,نقدا فقط ,للبيع فقط ,00 ,إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|خاليه من القص تمام|عليها عدت صوت كامله سماعات ومكبير|الطبون الخلفي بفتح ع الرمونت محول كهربا|اقتصاديه جدا وجامده ع الشارع|مكينيكيات الف وكهربا ممتازه|البيع بسبب التجديد
67000,هونداي,اكسنت,2016,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,22000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
60000,فولكسفاجن,بولو,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,null,4+1 ,نقدا فقط ,للبيع أو التبديل ,2 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|فخص الف الف|رخصه وتامين
95000,فولكسفاجن,كادي,2011,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,null,6+1 ,إمكانية التقسيط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
30000,دايو,لانوس,1999,أزرق ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1500 ,null,4+1 ,نقدا فقط ,للبيع فقط ,3 ,التأمين و الترخيص سارية المفعول المشتري يحصل على التأمين
115000,فولكسفاجن,كادي,2012,فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,150000 ,6+1 ,إمكانية التقسيط ,للبيع فقط ,2 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|حسس وشاشه
109000,هونداي,توسان,2014,فيراني ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000 ,29000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,غير منمرة ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|4*4
42000,هونداي,افانتي,2006,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,123457 ,null,إمكانية التقسيط ,للبيع أو التبديل ,2 ,سياره نخب اول(بودي+ماتور+كير)|جنط اسود مميز|نظام رفع الزجاج عل ريمونت|السعر قابل للنقاش عل كاش|الله يوضع البركه لصاحب النصيب
85000,فولكسفاجن,توران,2011,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,٢٥٠٠٠٠ ,٧ ,نقدا فقط ,للبيع فقط ,يد ثانيه ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
32500,شفروليه,اوبترا,2006,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,140000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,3 ,إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|السيارة بحالة ممتازة|خالية من القص اوالمشاكل|دهان جديد مظهرها جميل|ترخيص لشهر 4/2018
33500,اوبل,كورسا,2003,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,122000 ,4+1 ,نقدا فقط ,للبيع فقط ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السيارة ما شاء الله عنها مرخصة ومأمنة لشهر 2 /2018|صوت الماطور نحلة جير الف الف شصيات الف|السيارة بوية شركة ، الدفع كاش الله يبارك لصاحب النصيب
97000,فولكسفاجن,توران,2012,رصاصي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,null,6+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|سيارة من نوع توران|إنتاج وترخيص 2012|اتوماتيك ديزل|ماتور 1600cc|سياره صلاة النبي ممتازه واقتصاديه وعائليه|فـــحص ممتاز|جنطات اصلي عدد 5 شركه|وصلة جر اصليه برخصتها|كميرا مع شاشه أكبر حجم اصليه شركه|حساسات خلفي|وسعر سياره معقول لا زياده وله نقصان|فحص بودي ممتاز ومتور ممتاز وجير ممتاز|والله يوضع البركه لصحاب النصيب
85000,هونداي,توسان,2010,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,null,null,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|الجيب فللل ال فلللل|بنوراما|جنط مميز|درجات جانبيه|كراسي كهربا|تحكم|تدفئة كراسي وتبريد|رخصة سارية المفعول|شاشة
45000,فورد,فيستا,2012,بترولي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250 ,78000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,مُكيّف|إغلاق مركزي|مسجل CD|وسادة حماية هوائية|- استيراد الماني|- تم استخدامها لمدة عام واحد فقط.|- ترخيص و تأمين شامل لغاية 5/2018|- البيع بسبب التجديد
21000,دايو,رايسر,1996,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1500 ,00000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,3 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|سياره مشاء الله عليها  متور نحله السياره نظيفه|ترخيص + تامين الله يبارك في صاحب النصيب
11000,رينو,R9,1983,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1100 ,null,null,إمكانية التقسيط ,للبيع أو التبديل ,null,مسجل CD|جنطات مغنيسيوم|فرش جلد|السيارة بالصلاة على النبي ممتازة|متور وجير الف الف|افرهول ااجديد وكلاتش جديد|كوشوك جديد
45000,فورد,ترانزيت,2000,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500 ,null,7,+ 1 ,نقدا فقط ,للبيع أو التبديل ,null,مسجل CD|وسادة حماية هوائية
20000,مرسيدس,فيتو,1999,رصاصي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000 ,null,null,إمكانية التقسيط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
56500,اوبل,كورسا,2015,رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,22000 ,5+1 ,نقدا فقط ,للبيع فقط ,أولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|جنط مغنيسيوم....تحكم ستيرنغ|شاشة لمس...بلوتوث|كشافات...اضواو ليد|يو إس بي...نظام ايكو لتوفير الوقود|رخصة سنه كاملة|إنتاج 12/2014البودي الجديد
85000,جييب,شيروكي,2003,رصاصي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3700 ,130000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|جيب شيروكي ليبرتي|موديل 2003|أصل برايفت|متور 3700 بنزين|جيب فل فل فل اضافات|نظام دفع رباعي 4×4|فتحة سقف|فرش جلد|كراسي كهربائيه اماميه
10000,رينو,R9,1982,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1235 ,null,null,نقدا فقط ,للبيع فقط ,٨ ,null
51900,اوبل,كورسا,2013,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,null,null,إمكانية التقسيط ,للبيع أو التبديل ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|بسم الله الرحمن الرحيم|اوبل كورسا بصلاة على النبي من الشركة لعندك.|بمعنى اخر فحص نخب اول، تخلو من اي ضربة، احكيلك تخلو من اي خدش.|كل شي فيها حسب تركيب الشركة و لا يزال على حاله (شركة).|مثبت سرعة|نظام الايكو|تحكم فل استيرنج|مزجان حار بارد|و العديد من المزايا|ترخيص طويل الاجل.|السيارة تم تنميرها قبل اكم شهر.|امكانية التقسيط دفعة و شكات|قبل ما تيجي بعطيك ارقام الفاحصين و بامكانك تتاكد شخصيا من الفحص، احكيليك بعطيك فحصها الحجاوي اذا رغبت ذلك.|ربي يبارك لصاحب النصيب ، و يعوض الي باعني هذه السيارة بافضل منها.
75000,فولكسفاجن,كرافيل,2008,برتقالي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500 ,null,7:1 ,نقدا فقط ,للبيع فقط ,يد اولا ,مُكيّف|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|السياره في حاله ممتازه قير وماتور ممتاز|بودي بويت الشركة
40000,هونداي,جيتس,2007,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,900000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثالثة ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السيارة ممتازة  وعلى الفحص
113000,سكودا,اوكتافيا,2015,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,7 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|2000 تيربو  ، شاشة لمس ، حساس امامي و خلفي ، طساسات ع ضواو ، جنط 18 ، تحكم ستيرنج ، نظام توفير ديزيل ، غمازات ع المري ، تحكم بالمري  ، وصلة جر ، ليد خلفي
25000,فولكسفاجن,بولو,1997,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,00000000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,يد ثالثة  ,إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية
60000,فولكسفاجن,جولف,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,null,null,نقدا فقط ,للبيع فقط ,ثانية ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|سيارة بسم الله ما شاء الله بحالة ممتازة  وكل شي على الفحص، دهان شركة الله يبارك لصاحب النصيب
100000,فولكسفاجن,جولف,2012,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,65000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد أولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السيارة أصل ألماني 100%، ولا ضربة دهان شركة 100% والفحص أكبر برهان .|فل فل أوبشن، فتحة، جنط مغنيسيوم 17، اصطفاف تلقائي، حساسات أمامي خلفي، رشاشات ماء على الأضوية الأمامية، كشافات، اضوية ليد خلفية، شاشة، تحكم ستيريغ، سيستم صوت شركة مميز ( نظام DYNAUDIO ).|ماتور 1400 دبل تيربو بنزين / 160 حصان.
37000,سكودا,اوكتافيا,2001,أخضر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,_ ,4+1 ,نقدا فقط ,للبيع فقط ,يد سادسة ,مُكيّف|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|ماطور مستورد بحالة ممتازة ، وللتنازل فوري على المحل ، جنط مغنيسيوم ، الفحص ممتاز ، ترخيص11 شهر وتأمين 11شهر
85000,فولكسفاجن,باسات,2010,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,190 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|سيارة بحاله ممتازة  تحكم ستيرنغ وجير عستيرنغ فل مواصفات عدا فتحه امكانيه البدل واردة يفضل على  جيب
37000,فولكسفاجن,ترانسبورتر,1999,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2400 ,null,1+7 ,إمكانية التقسيط ,للبيع أو التبديل ,null,مسجل CD|فرش جلد|ماتور جديد|جير جديد|دهان جديد|ترخيص وتامين من ثلاثة شهور ونص|ولمدة سنة|وضع الباص جيد جدا
23000,اوبل,كاديت,1986,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1500 ,null,4+1 ,إمكانية التقسيط ,للبيع فقط ,null,إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|منفوضه كلها بودي وماتور وجير وهيئه.|ماتور 1300 بالرخصه حشوة دايو 1500 عدد احصنه 86 وجير 5 غيار.|ترخيص وتأمين ساري لغاية شهر 11.|زجاج كهربائي عدد 4.|في مجال بالسعر.
69000,بيجو,بارتنر,2012,رمادي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,- ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثانية ,مُكيّف|إغلاق مركزي|مسجل CD|فرش جلد|وسادة حماية هوائية|السيارة بالصلاة على النبي موديل 2012 القصة الجديد|السيارة أصل شركة|ولا دقة شاكوش فيها|شصيات وماتور وهيكل المركبة 100% الحمد لله|طبعا السيارة عجالها جداد|السيارة فيها ترخيص وتأمين لشهر 4/2018|السيارة ما شاء الله مشدشدة وقوية قوتها 95 حصان|افحص وين ما بدك|سبب البيع: سداد ديون بناء وتعمير
